ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12715199,2004 Jeep Cherokee Renegade (4X4) KJ MY05 Upgrade,7750,Jeep,Cherokee,Renegade (4X4),KJ MY05 Upgrade,2004,221622,Wagon,Automatic,Unleaded Petrol, Used,3701,Black,5
12702652,1999 Toyota Camry CSI SXV20R,3999,Toyota,Camry,CSI,SXV20R,1999,310163,Sedan,Automatic,Unleaded Petrol, Used,2164,White,5
12836129,2021 MG MG3 Auto Core SZP1 MY21,19990,MG,MG3 Auto,Core,SZP1 MY21,2021,9957,Hatchback,Automatic,Premium Unleaded Petrol, Used,1498,White,5
12819867,2019 Volkswagen Amarok V6 TDI 550 Sportline 2H MY19,52990,Volkswagen,Amarok,V6 TDI 550 Sportline,2H MY19,2019,31240,Dual Cab Utility,Automatic,Diesel, Used,2967,White,5
12834782,2022 Mazda CX-5 Maxx Sport (awd) CX5L,45288,Mazda,CX-5,Maxx Sport (awd),CX5L,2022,6,Wagon,Automatic,Unleaded Petrol, New In Stock,2488,White,5
12773463,2013 Land Rover Freelander 2 TD4 (4X4) LF MY13,21990,Land Rover,Freelander 2,TD4 (4X4),LF MY13,2013,101037,Wagon,Manual,Diesel, Used,2179,White,5
12830624,2016 Nissan Qashqai TI (4X2) J11,28490,Nissan,Qashqai,TI (4X2),J11,2016,64880,Wagon,Automatic,Unleaded Petrol, Used,1997,White,5
12770140,2019 Mazda 3 G25 GT BP,33750,Mazda,3,G25 GT,BP,2019,51738,Hatchback,Manual,Unleaded Petrol, Used,2488,White,5
12813942,2015 Hyundai I30 Active X GD4 Series 2,22800,Hyundai,I30,Active X,GD4 Series 2,2015,44793,Hatchback,Automatic,Unleaded Petrol, Used,1797,Blue,5
12829067,2022 Volkswagen Tiguan Allspace 132TSI Life 5NA MY22,51990,Volkswagen,Tiguan,Allspace 132TSI Life,5NA MY22,2022,20,Wagon,Automatic,Premium Unleaded Petrol, New In Stock,1984,Black,7
12827886,2022 Volkswagen Tiguan Allspace 162TSI Adventure 5NA MY22,51680,Volkswagen,Tiguan,Allspace 162TSI Adventure,5NA MY22,2022,1912,Wagon,Automatic,Premium Unleaded Petrol, Demo,1984,White,5
12742793,2017 Toyota RAV4 GX (4X4) ASA44R MY17,24900,Toyota,RAV4,GX (4X4),ASA44R MY17,2017,89000,Wagon,Automatic,Unleaded Petrol, Used,2494,Red,5
12844483,2011 Toyota Landcruiser Prado GXL (4X4) KDJ150R,37990,Toyota,Landcruiser Prado,GXL (4X4),KDJ150R,2011,157943,Wagon,Automatic,Diesel, Used,2982,Silver,7
12831572,2017 Ford Ecosport Trend BK,18990,Ford,Ecosport,Trend,BK,2017,73623,Wagon,Automatic,Premium Unleaded Petrol, Used,1498,Blue,5
12766342,2016 Mitsubishi Lancer LS CF,21990,Mitsubishi,Lancer,LS,CF,2016,74793,Sedan,Automatic,Unleaded Petrol, Used,1998,Black,5
