ID,Name,Brand,Year,Kilometers,Type,Gearbox_Automatic,Gearbox_Manual,Gearbox_AWD,Gearbox_Front,Fuel_Diesel,Fuel_Unleaded Petrol,Fuel_Premium Unleaded Petrol,Fuel_Liquid Petroleum Gas,Fuel_Premium Unleaded/Electric,Fuel_Unleaded Petrol/Electric,Fuel_Diesel/Electric,Status_ Used,Status_ New In Stock,Status_ Demo,CC,Color,Seating Capacity,Price
12829116.0,47990.0,44184.06134969325,2019.0,113075.0,44730.529914529914,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2999.0,35446.68137931034,5.0,51990
12851231.0,32770.41154850566,29528.430344827586,2013.0,244923.0,43877.95421686747,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3196.0,34098.34564572661,5.0,17913
12779673.0,32770.41154850566,42464.47924528302,2008.0,111334.0,35263.50941002326,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2967.0,35463.91931034483,7.0,26995
12798194.0,83434.0,36294.203983101994,2022.0,8705.0,63069.454887218046,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2753.0,35833.10752688172,5.0,80950
12710425.0,32770.41154850566,46457.91463414634,2014.0,102221.0,44857.044642857145,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1997.0,35463.57862068965,4.0,27489
12766216.0,46490.0,29493.841379310346,2017.0,44510.0,43817.52771084337,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3196.0,34091.58452413049,5.0,42990
12758145.0,38247.28571428572,30223.451680672268,2018.0,59677.0,35260.76147176993,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3342.0,29066.8671875,8.0,39990
12740862.0,56816.0,37427.681818181816,2022.0,14.0,35256.5808839078,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1984.0,34342.46853741496,5.0,59760
12703317.0,70000.0,23185.66379310345,2010.0,207141.0,28617.833333333332,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5967.0,34098.59180372068,2.0,17000
12744590.0,43883.5,45852.267857142855,2015.0,95566.0,35259.72573482766,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1998.0,34091.07279590186,5.0,44888
12775883.0,32770.41154850566,35803.62970936491,2019.0,78500.0,32885.2421875,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1995.0,34090.313291992454,3.0,47705
12848800.0,19990.0,29529.70344827586,2017.0,49657.0,21301.71810287241,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1496.0,35470.81931034483,5.0,16990
12701970.0,32770.41154850566,46447.74796747968,2003.0,63812.0,33365.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2979.0,29073.377604166668,2.0,29990
12823387.0,69990.0,44428.543130990416,2018.0,50583.0,35253.38612814549,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2143.0,34082.98975465085,5.0,74868
12777267.0,29657.571428571428,35830.77179763186,2015.0,277210.0,33156.47239263804,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2198.0,34097.11162038285,5.0,22490
12789916.0,32770.41154850566,29471.769655172415,2022.0,34.0,35256.743286107,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2191.0,32337.895384615385,5.0,58992
12844452.0,32770.41154850566,26753.027982326952,2009.0,204081.0,35267.128568407694,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1975.0,29086.470052083332,5.0,9880
12832540.0,32770.41154850566,29287.309629629628,2003.0,303164.0,35265.730809896384,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3200.0,30140.86740331492,7.0,16490
12795572.0,20225.0,29274.717037037037,2011.0,129799.0,28261.31007751938,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2477.0,34096.43758425452,5.0,24990
12738233.0,14990.0,26098.944356120828,2000.0,350009.0,35264.98858109537,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4479.0,29215.456521739132,7.0,20000
12810374.0,32770.41154850566,34571.94171779141,2016.0,68721.0,32938.81640625,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1395.0,34094.0110541925,5.0,33990
12692466.0,59880.0,26679.228276877762,2022.0,29.0,35256.532247832525,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1998.0,34087.001078457804,5.0,59990
12849040.0,20239.75,29521.579310344827,2015.0,101504.0,35264.37957284838,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1998.0,32374.933333333334,5.0,22880
12838418.0,23165.666666666668,36324.95292697646,2009.0,142109.0,32211.64453125,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2982.0,35461.847586206895,5.0,29999
12435381.0,10330.0,29543.48275862069,2012.0,77000.0,21308.3914495658,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1498.0,32391.220512820513,5.0,7000
