ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12693928,2020 Audi RS Q3 2.5 Tfsi Quattro F3 MY20,104990,Audi,RS Q3,2.5 Tfsi Quattro,F3 MY20,2020,9845,Sportback,Automatic,Premium Unleaded Petrol, Used,2480,Black,5
12694525,2022 Toyota Landcruiser 70 Series GXL VDJ79R,124990,Toyota,Landcruiser 70 Series,GXL,VDJ79R,2022,82,Double Cab Chassis,Manual,Diesel, Used,4461,Brown,5
12694622,2021 Ram 1500 Express Rambox DS MY21,109990,Ram,1500,Express Rambox,DS MY21,2021,40610,Crew Cab Utility,Automatic,Premium Unleaded Petrol, Used,5654,White,5
12694667,2019 Mercedes-Benz GLE300 D 4Matic V167 MY19,101800,Mercedes-Benz,GLE300,D 4Matic,V167 MY19,2019,33385,Wagon,Automatic,Diesel, Used,1950,Grey,5
12694680,2021 Lexus RX350L Sports Luxury (awd) GGL26R,111990,Lexus,RX350L,Sports Luxury (awd),GGL26R,2021,8222,Wagon,Automatic,Premium Unleaded Petrol, Used,3456,Silver,7
12695003,2016 Toyota Landcruiser Sahara (4X4) VDJ200R MY16,119990,Toyota,Landcruiser,Sahara (4X4),VDJ200R MY16,2016,146587,Wagon,Automatic,Diesel, Used,4461,White,7
12695316,2020 Land Rover Defender 110 D240 First Edition (177KW) L663 MY20,135990,Land Rover,Defender,110 D240 First Edition (177KW),L663 MY20,2020,33241,Wagon,Automatic,Diesel, Used,1999,Brown,5
12695520,2022 Audi A7 55 Tfsi Quattro Mhev 4K MY22,147880,Audi,A7,55 Tfsi Quattro Mhev,4K MY22,2022,1022,Sportback,Automatic,Premium Unleaded/Electric, Demo,2995,Black,5
12695658,2018 Mercedes-Benz E63 4Matic+ 213 MY18,169900,Mercedes-Benz,E63,4Matic+,213 MY18,2018,44742,Saloon,Automatic,Premium Unleaded Petrol, Used,3982,Grey,5
12697665,2019 Mercedes-Benz C63 S 205 MY19,166990,Mercedes-Benz,C63,S,205 MY19,2019,14783,Sedan,Automatic,Premium Unleaded Petrol, Used,3982,Black,4
12697910,2022 Toyota Landcruiser LC300 VX (4X4) FJA300R,128990,Toyota,Landcruiser,LC300 VX (4X4),FJA300R,2022,9124,Wagon,Automatic,Diesel, Used,3346,White,7
12697961,2016 BMW X6 M F86 MY16,94990,BMW,X6,M,F86 MY16,2016,39240,Coupe,Automatic,Premium Unleaded Petrol, Used,4395,Grey,5
12699829,2020 BMW X5 Xdrive 30D G05,111888,BMW,X5,Xdrive 30D,G05,2020,18341,Wagon,Automatic,Diesel, Used,2993,Blue,5
12700365,2018 Mercedes-Benz GLC63 S 253 MY18,135631,Mercedes-Benz,GLC63,S,253 MY18,2018,53583,Coupe,Automatic,Premium Unleaded Petrol, Used,3982,White,5
12700368,2020 BMW M2 Competition F87 MY19,112996,BMW,M2,Competition,F87 MY19,2020,9993,Coupe,Manual,Premium Unleaded Petrol, Used,2979,Black,4
12700570,2020 Mercedes-Benz GLE300 D 4Matic V167 MY19,102000,Mercedes-Benz,GLE300,D 4Matic,V167 MY19,2020,28000,Wagon,Automatic,Diesel, Used,1950,White,5
12700696,2016 Land Rover Range Rover Sport 3.0 SDV6 HSE Dynamic LW MY16,101880,Land Rover,Range Rover Sport,3.0 SDV6 HSE Dynamic,LW MY16,2016,66125,Wagon,Automatic,Diesel, Used,2993,Grey,5
12700697,2019 Land Rover Range Rover Sport SDV6 HSE (225KW) LW MY19,159980,Land Rover,Range Rover Sport,SDV6 HSE (225KW),LW MY19,2019,39250,Wagon,Automatic,Diesel, Used,2993,White,5
